ts,swod_hold_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_held_groups,swod_skip_cnt,back,mem_available_kb,min_mem_available_kb
2026-04-08 07:36:00,0,0,0,0,0,0,38938576,191770536,191770536
2026-04-08 07:36:02,0,0,0,0,0,0,38819280,191756848,191756848
2026-04-08 07:36:03,0,0,0,0,0,0,38677456,191667156,191667156
2026-04-08 07:36:04,0,0,0,0,0,0,38544336,191751772,191667156
2026-04-08 07:36:05,0,0,0,0,0,0,38390224,191752752,191667156
2026-04-08 07:36:06,0,0,0,0,0,0,38225360,191756380,191667156
2026-04-08 07:36:07,0,0,0,0,0,0,38036944,191743908,191667156
2026-04-08 07:36:08,0,0,0,0,0,0,37798352,191743540,191667156
2026-04-08 07:36:09,0,0,0,0,0,0,37523408,191743012,191667156
2026-04-08 07:36:10,0,0,0,0,0,0,37171152,191744232,191667156
2026-04-08 07:36:11,0,0,0,0,0,0,36761040,191743844,191667156
2026-04-08 07:36:12,0,0,0,0,0,0,36056528,191744176,191667156
2026-04-08 07:36:13,0,0,0,0,0,0,34560464,191742856,191667156
2026-04-08 07:36:14,0,0,0,0,0,0,30481484,191743448,191667156
2026-04-08 07:36:15,0,0,0,0,0,0,30384742,191743752,191667156
2026-04-08 07:36:17,0,0,0,0,0,0,30284615,191741560,191667156
2026-04-08 07:36:18,0,0,0,0,0,0,30178737,191740892,191667156
2026-04-08 07:36:19,0,0,0,0,0,0,30069783,191739972,191667156
2026-04-08 07:36:20,0,0,0,0,0,0,29959650,191742596,191667156
2026-04-08 07:36:21,0,0,0,0,0,0,29850468,191743568,191667156
2026-04-08 07:36:22,0,0,0,0,0,0,29740959,191744080,191667156
2026-04-08 07:36:23,0,0,0,0,0,0,29624835,191742340,191667156
2026-04-08 07:36:24,0,0,0,0,0,0,29510641,191743536,191667156
2026-04-08 07:36:25,0,0,0,0,0,0,29387356,191743488,191667156
2026-04-08 07:36:26,0,0,0,0,0,0,29257898,191745004,191667156
2026-04-08 07:36:27,0,0,0,0,0,0,29132557,191744224,191667156
2026-04-08 07:36:28,0,0,0,0,0,0,29008104,191742876,191667156
2026-04-08 07:36:29,0,0,0,0,0,0,28861347,191741528,191667156
2026-04-08 07:36:31,0,0,0,0,0,0,11138531,191741904,191667156
2026-04-08 07:36:32,0,0,0,0,0,0,39468435,191742940,191667156
2026-04-08 07:36:33,0,0,0,0,0,0,39107475,191743052,191667156
2026-04-08 07:36:34,0,0,0,0,0,0,38654867,191741840,191667156
2026-04-08 07:36:35,0,0,0,0,0,0,37944723,191742908,191667156
2026-04-08 07:36:36,0,0,0,0,0,0,36990867,191740772,191667156
2026-04-08 07:36:37,0,0,0,0,0,0,35034515,191740700,191667156
2026-04-08 07:36:38,0,0,0,0,0,0,31239028,191741252,191667156
2026-04-08 07:36:39,0,0,0,0,0,0,31135420,191741564,191667156
2026-04-08 07:36:40,0,0,0,0,0,0,31029183,191740416,191667156
2026-04-08 07:36:41,0,0,0,0,0,0,30918535,191741092,191667156
2026-04-08 07:36:42,0,0,0,0,0,0,30804311,191741628,191667156
2026-04-08 07:36:43,0,0,0,0,0,0,30686810,191742036,191667156
2026-04-08 07:36:44,0,0,0,0,0,0,30567223,191742036,191667156
2026-04-08 07:36:46,0,0,0,0,0,0,30440533,191742156,191667156
2026-04-08 07:36:47,0,0,0,0,0,0,30317396,191741836,191667156
2026-04-08 07:36:48,0,0,0,0,0,0,30184718,191742500,191667156
2026-04-08 07:36:49,0,0,0,0,0,0,30055901,191742524,191667156
2026-04-08 07:36:50,0,0,0,0,0,0,29912916,191742384,191667156
2026-04-08 07:36:51,0,0,0,0,0,0,29758618,191743280,191667156
2026-04-08 07:36:52,0,0,0,0,0,0,29599145,191742812,191667156
2026-04-08 07:36:53,0,0,0,0,0,0,29428988,191742108,191667156
2026-04-08 07:36:54,0,0,0,0,0,0,29250638,191741544,191667156
2026-04-08 07:36:55,0,0,0,0,0,0,29055001,191743332,191667156
2026-04-08 07:36:56,0,0,0,0,0,0,28854902,191745924,191667156
2026-04-08 07:36:57,0,0,0,0,0,0,28625053,191745048,191667156
2026-04-08 07:36:58,0,0,0,0,0,0,28376914,191744884,191667156
2026-04-08 07:36:59,0,0,0,0,0,0,28077015,191745424,191667156
2026-04-08 07:37:01,0,0,0,0,0,0,27663355,191745660,191667156
2026-04-08 07:37:02,0,0,0,0,0,0,27260571,191744988,191667156
2026-04-08 07:37:03,0,0,0,0,0,0,38827067,191744784,191667156
2026-04-08 07:37:04,0,0,0,0,0,0,38720059,191744452,191667156
2026-04-08 07:37:05,0,0,0,0,0,0,38603835,191744724,191667156
2026-04-08 07:37:06,0,0,0,0,0,0,38478395,191746456,191667156
2026-04-08 07:37:07,0,0,0,0,0,0,38329403,191745440,191667156
2026-04-08 07:37:08,0,0,0,0,0,0,38182459,191745708,191667156
2026-04-08 07:37:09,0,0,0,0,0,0,38011963,191745420,191667156
2026-04-08 07:37:10,0,0,0,0,0,0,37783099,191747420,191667156
2026-04-08 07:37:11,0,0,0,0,0,0,37543995,191748512,191667156
2026-04-08 07:37:12,0,0,0,0,0,0,37194811,191746684,191667156
2026-04-08 07:37:13,0,0,0,0,0,0,36810811,191747456,191667156
